joint1_pos_desired, joint1_pos, joint2_pos_desired, joint2_pos, joint1_vel_desired, joint1_vel_filtered, joint2_vel_desired, joint2_vel_filtered, target_torque_joint1, target_torque_joint2, nonlinear_term_torque_joint1, PD_term_torque_joint1, nonlinear_term_torque_joint2, PD_term_torque_joint2, current_time
1.4778,1.47636,0.657944,0.655955,0,0,-1.88345e-07,0,-6,-91,0,-6,-77.9386,-13.0614,0.004
1.4778,1.47636,0.657944,0.655833,0,0,-7.52776e-07,-0.010192,-6,-100,-0,-6,-77.9459,-22.0541,0.008
1.4778,1.47636,0.657944,0.655742,0,0,-1.69239e-06,-0.0143379,-6,-104,-0,-6,-77.9513,-26.0487,0.012
1.4778,1.47636,0.657944,0.655664,0,0,-3.00629e-06,-0.0160653,-6,-106,-0,-6,-77.956,-28.044,0.016
1.4778,1.47636,0.657944,0.6556,0,2.87909e-05,-4.69356e-06,-0.0160653,-6,-107,-1.22517e-06,-6,-77.9599,-29.0401,0.02
1.4778,1.47636,0.657944,0.655552,0,-9.59697e-06,-6.75331e-06,-0.0146546,-6,-106,3.72519e-07,-6,-77.9627,-28.0373,0.024
1.4778,1.47636,0.657944,0.655524,0,-6.39798e-06,-9.18463e-06,-0.0121594,-6,-104,2.06058e-07,-6,-77.9644,-26.0356,0.028
1.4778,1.47636,0.657944,0.655515,0,-4.26532e-06,-1.19866e-05,-0.00885481,-6,-101,1.00038e-07,-6,-77.965,-23.035,0.032
1.4778,1.47636,0.657944,0.655521,0,-2.84355e-06,-1.51584e-05,-0.00541376,-6,-99,4.0775e-08,-6,-77.9646,-21.0354,0.036
1.4778,1.47636,0.657944,0.655537,0,-1.8957e-06,-1.86991e-05,-0.00222721,-6,-96,1.11832e-08,-6,-77.9636,-18.0364,0.04
1.4778,1.47636,0.657944,0.655562,0,-1.2638e-06,-2.26077e-05,0.000588141,-6,-93,-1.9688e-09,-6,-77.9621,-15.0379,0.044
1.4778,1.47636,0.657944,0.655594,0,-8.42533e-07,-2.68834e-05,0.00301207,-6,-91,-6.72206e-09,-6,-77.9602,-13.0398,0.048
1.4778,1.47636,0.657943,0.655631,0,-5.61689e-07,-3.15253e-05,0.00511747,-6,-89,-7.61394e-09,-6,-77.958,-11.042,0.052
1.4778,1.47636,0.657943,0.655674,0,-3.74459e-07,-3.65325e-05,0.00698172,-6,-87,-6.92526e-09,-6,-77.9554,-9.04457,0.056
1.4778,1.47636,0.657943,0.655722,0,-2.49639e-07,-4.19041e-05,0.00865642,-6,-86,-5.72442e-09,-6,-77.9526,-8.04745,0.06
1.4778,1.47636,0.657943,0.655774,0,-1.66426e-07,-4.76392e-05,0.0101472,-6,-84,-4.47362e-09,-6,-77.9494,-6.0506,0.064
1.4778,1.47636,0.657943,0.655832,0,-1.10951e-07,-5.37369e-05,0.0115441,-6,-82,-3.39309e-09,-6,-77.946,-4.05403,0.068
1.4778,1.47636,0.657943,0.655894,0,-7.39672e-08,-6.01963e-05,0.0128784,-6,-81,-2.52361e-09,-6,-77.9422,-3.05776,0.072
1.4778,1.47636,0.657942,0.655961,0,-4.93115e-08,-6.70165e-05,0.014171,-6,-79,-1.85134e-09,-6,-77.9382,-1.06179,0.076
1.4778,1.47636,0.657942,0.656033,0,-3.28743e-08,-7.41967e-05,0.0154935,-6,-78,-1.34945e-09,-6,-77.9339,-0.0661375,0.08
1.4778,1.47636,0.657942,0.656108,0,-2.19162e-08,-8.17359e-05,0.016519,-6,-76,-9.59221e-10,-6,-77.9294,1.92941,0.084
1.4778,1.47636,0.657941,0.656185,0,-1.46108e-08,-8.96332e-05,0.0174331,-6,-75,-6.74892e-10,-6,-77.9248,2.92478,0.088
1.4778,1.47636,0.657941,0.656265,0,-9.74054e-09,-9.78879e-05,0.0183303,-6,-74,-4.73106e-10,-6,-77.92,3.91995,0.092
1.4778,1.47636,0.657941,0.656348,0,-6.49369e-09,-0.000106499,0.0191588,-6,-72,-3.29674e-10,-6,-77.915,5.91496,0.096
1.4778,1.47636,0.65794,0.656434,0,-4.32913e-09,-0.000115465,0.0198839,-6,-71,-2.28111e-10,-6,-77.9098,6.90983,0.1
