joint1_pos_desired, joint1_pos, joint2_pos_desired, joint2_pos, joint1_vel_desired, joint1_vel_filtered, joint2_vel_desired, joint2_vel_filtered, target_torque_joint1, target_torque_joint2, nonlinear_term_torque_joint1, PD_term_torque_joint1, nonlinear_term_torque_joint2, PD_term_torque_joint2, current_time
1.4778,1.47636,0.435153,0.042256,0,0,0.0999999,0,-9,-2872,0,-9,-98.2616,-2773.74,0.004
1.4778,1.47636,0.435553,0.042256,0,0,0.0999996,0,-9,-2875,0,-9,-98.2616,-2776.74,0.008
1.4778,1.47636,0.435953,0.0422712,0,0,0.0999991,0.0012668,-9,-2876,0,-9,-98.2616,-2777.74,0.012
1.4778,1.47636,0.436353,0.0424636,0,0,0.0999984,0.0168811,-9,-2865,0,-9,-98.2608,-2766.74,0.016
1.4778,1.47636,0.436753,0.0428378,0,2.87909e-05,0.0999975,0.0424346,-9,-2844,2.8652e-07,-9,-98.2592,-2745.74,0.02
1.4778,1.47636,0.437153,0.0433533,0,7.67758e-05,0.0999964,0.0712458,-9,-2820,1.29821e-06,-9,-98.257,-2721.74,0.024
1.4778,1.47636,0.437553,0.0439675,0,5.11839e-05,0.0999951,0.0986875,-9,-2796,1.21577e-06,-9,-98.2544,-2697.75,0.028
1.4778,1.47636,0.437953,0.0446506,0,9.17044e-05,0.0999937,0.122711,-9,-2774,2.75048e-06,-9,-98.2514,-2675.75,0.032
1.4778,1.47636,0.438353,0.045372,0,3.55444e-06,0.099992,0.141923,-9,-2756,1.25285e-07,-9,-98.2482,-2657.75,0.036
1.4778,1.47636,0.438753,0.0461041,0,2.36962e-06,0.0999901,0.155623,-9,-2742,9.30595e-08,-9,-98.2449,-2643.76,0.04
1.4778,1.47636,0.439153,0.0468344,0,1.57975e-06,0.099988,0.164613,-9,-2733,6.666e-08,-9,-98.2416,-2634.76,0.044
1.4778,1.47636,0.439553,0.0475171,0,1.05317e-06,0.0999858,0.166633,-9,-2729,4.56391e-08,-9,-98.2384,-2630.76,0.048
1.4778,1.47636,0.439953,0.0481794,0,7.02111e-07,0.0999833,0.166281,-9,-2728,3.07836e-08,-9,-98.2353,-2629.76,0.052
1.4778,1.47636,0.440353,0.0488134,0,4.68074e-07,0.0999806,0.163685,-9,-2728,2.04671e-08,-9,-98.2323,-2629.77,0.056
1.4778,1.47636,0.440753,0.049437,0,3.12049e-07,0.0999778,0.161091,-9,-2729,1.35995e-08,-9,-98.2293,-2630.77,0.06
1.4778,1.47636,0.441152,0.0500599,0,2.08033e-07,0.0999747,0.159304,-9,-2729,9.07834e-09,-9,-98.2262,-2630.77,0.064
1.4778,1.47636,0.441552,0.0506728,0,1.38689e-07,0.0999715,0.157278,-9,-2729,6.04815e-09,-9,-98.2232,-2630.78,0.068
1.4778,1.47636,0.441952,0.051302,0,9.2459e-08,0.0999681,0.15728,-9,-2727,4.08205e-09,-9,-98.22,-2628.78,0.072
1.4778,1.47636,0.442352,0.0519359,0,6.16393e-08,0.0999644,0.157685,-9,-2725,2.76196e-09,-9,-98.2168,-2626.78,0.076
1.4778,1.47636,0.442752,0.0525737,0,4.10929e-08,0.0999606,0.158271,-9,-2723,1.87077e-09,-9,-98.2135,-2624.79,0.08
1.4778,1.47636,0.443152,0.0532177,0,2.73953e-08,0.0999566,0.15918,-9,-2721,1.26965e-09,-9,-98.2102,-2622.79,0.084
1.4778,1.47636,0.443552,0.0538507,0,1.82635e-08,0.0999524,0.158865,-9,-2719,8.54766e-10,-9,-98.2069,-2620.79,0.088
1.4778,1.47636,0.443951,0.054485,0,1.21757e-08,0.099948,0.15877,-9,-2718,5.76186e-10,-9,-98.2035,-2619.8,0.092
1.4778,1.47636,0.444351,0.0551069,0,8.11712e-09,0.0999434,0.157671,-9,-2717,3.85799e-10,-9,-98.2001,-2618.8,0.096
1.4778,1.47636,0.444751,0.0557218,0,5.41141e-09,0.0999387,0.156362,-9,-2717,2.57899e-10,-9,-98.1968,-2618.8,0.1
1.4778,1.47636,0.445151,0.0563323,0,3.60761e-09,0.0999337,0.155115,-9,-2716,1.72422e-10,-9,-98.1934,-2617.81,0.104
1.4778,1.47636,0.44555,0.0569286,0,2.40507e-09,0.0999285,0.153103,-9,-2717,1.14653e-10,-9,-98.1901,-2618.81,0.108
1.4778,1.47636,0.44595,0.0575205,0,1.60338e-09,0.0999232,0.151387,-9,-2717,7.63614e-11,-9,-98.1868,-2618.81,0.112
1.4778,1.47636,0.44635,0.0581033,0,5.75829e-05,0.0999176,0.149495,-9,-2717,2.73544e-06,-9,-98.1835,-2618.82,0.116
1.4778,1.47636,0.446749,0.0586934,0,-1.91932e-05,0.0999119,0.148838,-10,-2716,-9.16934e-07,-10,-98.1801,-2617.82,0.12
1.4778,1.47636,0.447149,0.0592904,0,-1.27955e-05,0.099906,0.148976,-10,-2715,-6.1805e-07,-10,-98.1766,-2616.82,0.124
