joint1_pos_desired, joint1_pos, joint2_pos_desired, joint2_pos, joint1_vel_desired, joint1_vel_filtered, joint2_vel_desired, joint2_vel_filtered, target_torque_joint1, target_torque_joint2, estimated_disturbance_joint1, saturated_DOB_joint1, estimated_disturbance_joint2, saturated_DOB_joint2, current_time
-1.0042e-09,-0.000187256,0.3929,0.00012334,-7.52997e-07,0,0.0999999,0,0,0,0,0,23.0563,0.1,0.004
-8.02876e-09,-0.000187256,0.3933,0.00012334,-3.00958e-06,0,0.0999996,0,0,0,-0.00133315,-0.00133315,20.0778,0.1,0.008
-2.70808e-08,-0.000187256,0.3937,0.00012334,-6.76613e-06,0,0.0999991,0,0,0,-0.00264254,-0.00264254,17.1097,0.1,0.012
-6.4153e-08,-0.000187256,0.3941,0.00012334,-1.2019e-05,0,0.0999984,0,0,0,-0.00391303,-0.00391303,14.1519,0.1,0.016
-1.25224e-07,-0.000187256,0.3945,0.00012334,-1.87647e-05,0,0.0999975,0,0,0,-0.00512949,-0.00512949,11.2044,0.1,0.02
-2.16256e-07,-0.000187256,0.3949,0.00012334,-2.69995e-05,0,0.0999964,0,0,0,-0.00627677,-0.00627677,8.26704,0.1,0.024
-3.43201e-07,-0.000187256,0.3953,0.00012334,-3.67199e-05,0,0.0999951,0,0,0,-0.00733973,-0.00733973,5.33984,0.1,0.028
-5.11991e-07,-0.000187256,0.3957,0.00012334,-4.79222e-05,0,0.0999937,0,0,0,-0.0083032,-0.0083032,2.42275,0.1,0.032
-7.28549e-07,-0.000187256,0.3961,0.00012334,-6.06029e-05,0,0.099992,0,0,0,-0.00915202,-0.00915202,-0.484267,-0.1,0.036
-9.98781e-07,-0.000187256,0.3965,0.00012334,-7.47583e-05,0,0.0999901,0,0,0,-0.00987102,-0.00987102,-3.38215,-0.1,0.04
-1.32858e-06,-0.000187256,0.3969,0.00012334,-9.03849e-05,0,0.099988,0,0,0,-0.010445,-0.010445,-6.27005,-0.1,0.044
-1.72382e-06,-0.000187256,0.3973,0.00012334,-0.000107479,0,0.0999858,0,0,0,-0.0108589,-0.0108589,-9.14802,-0.1,0.048
-2.19036e-06,-0.000187256,0.3977,0.00012334,-0.000126037,0,0.0999833,0,0,0,-0.0110973,-0.0110973,-12.0161,-0.1,0.052
-2.73406e-06,-0.000187256,0.3981,0.000123686,-0.000146056,0,0.0999806,2.87909e-05,0,0,-0.0111452,-0.0111452,-14.8743,-0.1,0.056
-3.36075e-06,-0.000187256,0.3985,0.00012334,-0.000167531,0,0.0999778,-9.59697e-06,0,0,-0.0109873,-0.0109873,-17.7227,-0.1,0.06
-4.07625e-06,-0.000187256,0.398899,0.00012334,-0.00019046,0,0.0999747,-6.39798e-06,0,0,-0.0106085,-0.0106085,-20.5614,-0.1,0.064
-4.88637e-06,-0.000187256,0.399299,0.00012334,-0.000214839,0,0.0999715,-4.26532e-06,0,0,-0.0099935,-0.0099935,-23.3903,-0.1,0.068
-5.79689e-06,-0.000187256,0.399699,0.00012334,-0.000240663,0,0.099968,-2.84355e-06,0,0,-0.00912709,-0.00912709,-26.2095,-0.1,0.072
-6.81359e-06,-0.000187256,0.400099,0.00012334,-0.00026793,0,0.0999644,-1.8957e-06,0,0,-0.00799405,-0.00799405,-29.0192,-0.1,0.076
-7.94225e-06,-0.000187256,0.400499,0.00012334,-0.000296636,0,0.0999606,-1.2638e-06,0,0,-0.00657915,-0.00657915,-31.8192,-0.1,0.08
-9.1886e-06,-0.000187256,0.400899,0.00012334,-0.000326778,0,0.0999566,-8.42533e-07,0,0,-0.00486717,-0.00486717,-34.6096,-0.1,0.084
-1.05584e-05,-0.000187256,0.401299,0.000123686,-0.000358351,0,0.0999524,2.82292e-05,0,0,-0.00284285,-0.00284285,-37.3906,-0.1,0.088
-1.20573e-05,-0.000187256,0.401698,0.00012334,-0.000391353,0,0.099948,-9.97143e-06,0,0,-0.000490963,-0.000490963,-40.1621,-0.1,0.092
-1.36911e-05,-0.000187256,0.402098,0.00012334,-0.000425779,0,0.0999434,-6.64762e-06,0,0,0.00220376,0.00220376,-42.9242,-0.1,0.096
-1.54654e-05,-0.000187256,0.402498,0.00012334,-0.000461627,0,0.0999386,-4.43175e-06,0,0,0.00525656,0.00525656,-45.6768,-0.1,0.1
