joint1_pos_desired, joint1_pos, joint2_pos_desired, joint2_pos, joint1_vel_desired, joint1_vel_filtered, joint2_vel_desired, joint2_vel_filtered, target_torque_joint1, target_torque_joint2, estimated_disturbance_joint1, saturated_DOB_joint1, estimated_disturbance_joint2, saturated_DOB_joint2, current_time
1.4778,1.47637,0.658399,0.656386,0,0,-1.88345e-07,0,-6,-49,0,0,18.2652,10,0.004
1.4778,1.47637,0.658399,0.656275,0,0,-7.52776e-07,-0.00924189,-6,-57,-0.0064828,-0.0064828,18.2093,10,0.008
1.4778,1.47637,0.658399,0.656191,0,0,-1.69239e-06,-0.0131575,-6,-61,-0.0129667,-0.0129667,18.1484,10,0.012
1.4778,1.47637,0.658399,0.656117,0,0,-3.00629e-06,-0.0149329,-6,-63,-0.0194514,-0.0194514,18.0853,10,0.016
1.4778,1.47637,0.658399,0.656053,0,5.75818e-05,-4.69356e-06,-0.0152816,-6,-63,-0.0259103,-0.0259103,18.0212,10,0.02
1.4778,1.47637,0.658399,0.656003,0,9.59697e-06,-6.75331e-06,-0.0143912,-6,-63,-0.0320509,-0.0320509,17.9573,10,0.024
1.4778,1.47637,0.658399,0.655967,0,6.39798e-06,-9.18463e-06,-0.0126172,-6,-62,-0.0384767,-0.0384767,17.8946,10,0.028
1.4778,1.47637,0.658399,0.655946,0,4.26532e-06,-1.19866e-05,-0.0101677,-6,-60,-0.0449225,-0.0449225,17.8337,10,0.032
1.4778,1.47637,0.658399,0.65594,0,2.84355e-06,-1.51584e-05,-0.00721033,-6,-58,-0.0513817,-0.0513817,17.7751,10,0.036
1.4778,1.47637,0.658399,0.655945,0,1.8957e-06,-1.86991e-05,-0.00440381,-6,-55,-0.0578498,-0.0578498,17.719,10,0.04
1.4778,1.47637,0.658399,0.655957,0,1.2638e-06,-2.26077e-05,-0.00192819,-6,-53,-0.0643237,-0.0643237,17.6653,10,0.044
1.4778,1.47637,0.658399,0.655976,0,8.42533e-07,-2.68834e-05,0.000269248,-6,-51,-0.0708013,-0.0708013,17.6137,10,0.048
1.4778,1.47637,0.658398,0.655998,0,5.61689e-07,-3.15253e-05,0.00205091,-6,-50,-0.0772814,-0.0772814,17.564,10,0.052
1.4778,1.47637,0.658398,0.656024,0,3.74459e-07,-3.65325e-05,0.0034978,-6,-48,-0.083763,-0.083763,17.5159,10,0.056
1.4778,1.47637,0.658398,0.656052,0,2.49639e-07,-4.19041e-05,0.00463514,-6,-47,-0.0902455,-0.0902455,17.4692,10,0.06
1.4778,1.47637,0.658398,0.656081,0,1.66426e-07,-4.76392e-05,0.00553732,-6,-46,-0.0967285,-0.0967285,17.4237,10,0.064
1.4778,1.47637,0.658398,0.656111,0,1.10951e-07,-5.37369e-05,0.00622515,-6,-45,-0.103212,-0.103212,17.3792,10,0.068
1.4778,1.47637,0.658398,0.656144,0,7.39672e-08,-6.01963e-05,0.00685645,-6,-45,-0.109695,-0.109695,17.3357,10,0.072
1.4778,1.47637,0.658397,0.656178,0,4.93115e-08,-6.70165e-05,0.00742127,-6,-44,-0.116178,-0.116178,17.293,10,0.076
1.4778,1.47637,0.658397,0.656213,0,3.28743e-08,-7.41967e-05,0.00788419,-6,-43,-0.122661,-0.122661,17.2512,10,0.08
1.4778,1.47637,0.658397,0.656251,0,2.19162e-08,-8.17359e-05,0.00839433,-6,-42,-0.129144,-0.129144,17.2102,10,0.084
1.4778,1.47637,0.658396,0.656289,0,1.46108e-08,-8.96332e-05,0.00879202,-6,-42,-0.135626,-0.135626,17.17,10,0.088
1.4778,1.47637,0.658396,0.656328,0,9.74054e-09,-9.78879e-05,0.00908593,-6,-41,-0.142108,-0.142108,17.1306,10,0.092
1.4778,1.47637,0.658396,0.656369,0,6.49369e-09,-0.000106499,0.00945461,-6,-41,-0.14859,-0.14859,17.0919,10,0.096
1.4778,1.47637,0.658395,0.65641,0,4.32913e-09,-0.000115465,0.00970041,-6,-40,-0.155071,-0.155071,17.0538,10,0.1
1.4778,1.47637,0.658395,0.656451,0,2.88609e-09,-0.000124786,0.00992185,-6,-40,-0.161552,-0.161552,17.0165,10,0.104
1.4778,1.47637,0.658394,0.656493,0,1.92406e-09,-0.000134461,0.0101271,-6,-39,-0.168033,-0.168033,16.9797,10,0.108
1.4778,1.47637,0.658394,0.656535,0,1.2827e-09,-0.000144489,0.0102351,-6,-39,-0.174513,-0.174513,16.9436,10,0.112
1.4778,1.47637,0.658393,0.656577,0,8.55136e-10,-0.000154868,0.0103359,-7,-39,-0.180993,-0.180993,16.908,10,0.116
1.4778,1.47637,0.658392,0.656619,0,5.70091e-10,-0.000165599,0.0104031,-7,-38,-0.187472,-0.187472,16.8729,10,0.12
1.4778,1.47637,0.658392,0.656661,0,3.80061e-10,-0.00017668,0.0104479,-7,-38,-0.193951,-0.193951,16.8384,10,0.124
1.4778,1.47637,0.658391,0.656705,0,2.53374e-10,-0.00018811,0.0105641,-7,-37,-0.20043,-0.20043,16.8044,10,0.128
1.4778,1.47637,0.65839,0.656747,0,1.68916e-10,-0.000199888,0.010584,-7,-37,-0.206908,-0.206908,16.7709,10,0.132
1.4778,1.47637,0.658389,0.656788,0,1.12611e-10,-0.000212014,0.0104533,-7,-37,-0.213385,-0.213385,16.7378,10,0.136
1.4778,1.47637,0.658388,0.656829,0,7.50737e-11,-0.000224487,0.0103662,-7,-37,-0.219863,-0.219863,16.705,10,0.14
1.4778,1.47637,0.658388,0.656869,0,5.00491e-11,-0.000237305,0.0103081,-7,-36,-0.22634,-0.22634,16.6727,10,0.144
1.4778,1.47637,0.658387,0.656909,0,3.33661e-11,-0.000250469,0.0101543,-7,-36,-0.232816,-0.232816,16.6407,10,0.148
1.4778,1.47637,0.658386,0.656948,0,2.22441e-11,-0.000263976,0.0100229,-7,-36,-0.239292,-0.239292,16.6091,10,0.152
1.4778,1.47637,0.658384,0.656987,0,1.48294e-11,-0.000277826,0.0099353,-7,-36,-0.245768,-0.245768,16.5778,10,0.156
1.4778,1.47637,0.658383,0.657024,0,9.88625e-12,-0.000292019,0.00973295,-7,-36,-0.252243,-0.252243,16.5468,10,0.16
1.4778,1.47637,0.658382,0.65706,0,6.59083e-12,-0.000306553,0.00948289,-7,-36,-0.258718,-0.258718,16.5161,10,0.164
1.4778,1.47637,0.658381,0.657092,0,4.39389e-12,-0.000321428,0.00897069,-7,-36,-0.265193,-0.265193,16.4854,10,0.168
1.4778,1.47637,0.65838,0.657119,0,2.92926e-12,-0.000336642,0.00822615,-7,-36,-0.271667,-0.271667,16.4546,10,0.172
1.4778,1.47637,0.658378,0.657141,0,1.95284e-12,-0.000352195,0.00735551,-7,-37,-0.278141,-0.278141,16.4234,10,0.176
1.4778,1.47637,0.658377,0.657159,0,1.30189e-12,-0.000368086,0.00634322,-7,-38,-0.284615,-0.284615,16.3918,10,0.18
1.4778,1.47637,0.658375,0.65717,0,8.67929e-13,-0.000384314,0.00520771,-7,-38,-0.291088,-0.291088,16.3596,10,0.184
1.4778,1.47637,0.658374,0.657176,0,5.78619e-13,-0.000400878,0.00393246,-7,-39,-0.297562,-0.297562,16.3267,10,0.188
1.4778,1.47637,0.658372,0.657176,0,3.85746e-13,-0.000417777,0.00259285,-7,-40,-0.304035,-0.304035,16.293,10,0.192
1.4778,1.47637,0.65837,0.657173,0,2.57164e-13,-0.000435011,0.00152703,-7,-41,-0.310509,-0.310509,16.2585,10,0.196
