joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque 1[Nm], DOB Torque 2[Nm], current_time
1.2179,1.2166,-7.0784e-08,0,2.10072,2.10072,5.25544e-07,0.004
1.2179,1.2166,-2.83033e-07,7.67758e-05,1.92503,2.85865,10.2472,0.008
1.2179,1.2166,-6.36593e-07,0.000196205,1.6512,3.0254,15.9401,0.012
1.2179,1.21661,-1.13131e-06,0.000185778,1.67257,3.16989,19.1027,0.016
1.2179,1.21661,-1.76703e-06,0.000179986,1.68311,3.25832,20.8596,0.02
1.2179,1.21661,-2.54359e-06,0.000176768,1.68749,3.31065,21.8356,0.024
1.2179,1.21661,-3.46085e-06,0.000136592,1.77589,3.42766,22.378,0.028
1.2179,1.21661,-4.51865e-06,0.00015266,1.7359,3.44283,22.6794,0.032
1.2179,1.21661,-5.71683e-06,0.000123199,1.79936,3.51918,22.847,0.036
1.2179,1.21661,-7.05525e-06,0.000106832,1.83281,3.58799,22.9401,0.04
1.2179,1.21661,-8.53374e-06,5.93511e-05,1.93703,3.72673,22.9919,0.044
1.2179,1.21661,-1.01522e-05,3.29728e-05,1.99308,3.84827,23.0207,0.048
1.2179,1.21661,-1.19103e-05,1.83182e-05,2.02223,3.93871,23.0366,0.052
1.2179,1.21661,-1.38081e-05,1.01768e-05,2.03628,3.99976,23.0454,0.056
1.2179,1.21661,-1.58454e-05,5.65378e-06,2.04179,4.03763,23.0503,0.06
1.2179,1.21661,-1.8022e-05,3.14099e-06,2.04243,4.05869,23.0529,0.064
1.2179,1.21661,-2.03377e-05,1.74499e-06,2.04019,4.06809,23.0544,0.068
1.2179,1.21661,-2.27924e-05,9.6944e-07,2.03622,4.06958,23.0552,0.072
1.2179,1.21661,-2.5386e-05,5.38578e-07,2.03114,4.06578,23.0557,0.076
1.2179,1.21661,-2.81183e-05,2.9921e-07,2.02529,4.05838,23.0559,0.08
1.2179,1.21661,-3.09891e-05,1.66228e-07,2.01887,4.04849,23.0561,0.084
1.2179,1.21661,-3.39983e-05,9.23488e-08,2.01199,4.03683,23.0562,0.088
1.2179,1.21661,-3.71457e-05,5.13049e-08,2.00469,4.02382,23.0562,0.092
1.2179,1.21661,-4.04312e-05,2.85027e-08,1.99702,4.00973,23.0562,0.096
1.2179,1.21661,-4.38547e-05,1.58348e-08,1.98899,3.99473,23.0562,0.1
1.2179,1.21661,-4.74159e-05,8.79713e-09,1.98062,3.97891,23.0562,0.104
1.2179,1.21661,-5.11147e-05,4.88729e-09,1.9719,3.96234,23.0563,0.108
1.2179,1.21661,-5.4951e-05,2.71516e-09,1.96284,3.94504,23.0563,0.112
1.2179,1.21661,-5.89247e-05,1.50842e-09,1.95344,3.92704,23.0563,0.116
1.2179,1.21661,-6.30354e-05,8.38013e-10,1.94371,3.90834,23.0563,0.12
1.2179,1.21661,-6.72832e-05,4.65563e-10,1.93363,3.88897,23.0563,0.124
1.2179,1.21661,-7.16679e-05,2.58646e-10,1.92322,3.86891,23.0563,0.128
1.2179,1.21661,-7.61893e-05,1.43692e-10,1.91247,3.84817,23.0563,0.132
1.2179,1.21661,-8.08472e-05,7.98291e-11,1.90138,3.82676,23.0563,0.136
1.2179,1.21661,-8.56415e-05,4.43495e-11,1.88995,3.80466,23.0563,0.14
1.2179,1.21661,-9.0572e-05,2.46386e-11,1.87818,3.78188,23.0563,0.144
1.2179,1.21661,-9.56387e-05,1.36881e-11,1.86606,3.75842,23.0563,0.148
1.21789,1.21661,-0.000100841,3.83879e-05,1.76602,3.64668,23.0563,0.152
1.21789,1.21661,-0.00010618,-1.70613e-05,1.8795,3.70923,23.0563,0.156
1.21789,1.21661,-0.000111654,-9.47849e-06,1.84917,3.70101,23.0563,0.16
1.21789,1.21661,-0.000117263,-5.26583e-06,1.82614,3.67679,23.0563,0.164
1.21789,1.21661,-0.000123008,-2.92546e-06,1.807,3.64676,23.0563,0.168
1.21789,1.21661,-0.000128888,-1.62526e-06,1.78989,3.61509,23.0563,0.172
1.21789,1.21661,-0.000134903,-9.0292e-07,1.77374,3.58324,23.0563,0.176
1.21789,1.21661,-0.000141053,-5.01622e-07,1.75797,3.55158,23.0563,0.18
1.21789,1.21661,-0.000147338,-2.78679e-07,1.74226,3.52003,23.0563,0.184
1.21789,1.21661,-0.000153757,-1.54822e-07,1.72643,3.48842,23.0563,0.188
1.21789,1.21661,-0.00016031,-8.6012e-08,1.71038,3.45656,23.0563,0.192
1.21789,1.21661,-0.000166998,-4.77845e-08,1.69404,3.42431,23.0563,0.196
1.21789,1.21661,-0.00017382,-2.65469e-08,1.6774,3.39157,23.0563,0.2
1.21789,1.21661,-0.000180776,-1.47483e-08,1.66044,3.35827,23.0563,0.204
1.21789,1.21661,-0.000187866,-8.19349e-09,1.64313,3.32434,23.0563,0.208
1.21789,1.21661,-0.00019509,-4.55194e-09,1.62549,3.28977,23.0562,0.212
1.21789,1.21661,-0.000202447,-2.52886e-09,1.60749,3.25453,23.0562,0.216
1.21788,1.21661,-0.000209937,-1.40492e-09,1.58915,3.21861,23.0563,0.22
1.21788,1.21661,-0.00021756,-7.80511e-10,1.57046,3.18201,23.0563,0.224
1.21788,1.21661,-0.000225317,-4.33617e-10,1.55142,3.1447,23.0562,0.228
1.21788,1.21661,-0.000233207,-2.40899e-10,1.53202,3.1067,23.0563,0.232
1.21788,1.21661,-0.000241229,-1.33833e-10,1.51228,3.068,23.0563,0.236
1.21788,1.21661,-0.000249384,-7.43514e-11,1.49218,3.02859,23.0563,0.24
1.21788,1.21661,-0.000257671,-4.13063e-11,1.47173,2.98848,23.0563,0.244
1.21788,1.21661,-0.000266091,-2.2948e-11,1.45092,2.94766,23.0563,0.248
1.21788,1.21661,-0.000274642,-1.27489e-11,1.42976,2.90613,23.0563,0.252
1.21788,1.21661,-0.000283326,-7.0827e-12,1.40824,2.8639,23.0563,0.256
1.21787,1.21661,-0.000292142,-3.93484e-12,1.38637,2.82095,23.0563,0.26
1.21787,1.21661,-0.000301089,-2.18602e-12,1.36414,2.7773,23.0563,0.264
1.21787,1.21661,-0.000310168,-1.21446e-12,1.34156,2.73293,23.0563,0.268
1.21787,1.21661,-0.000319378,-6.74697e-13,1.31862,2.68785,23.0563,0.272
1.21787,1.21661,-0.00032872,-3.74832e-13,1.29532,2.64205,23.0563,0.276
1.21787,1.21661,-0.000338192,-2.0824e-13,1.27166,2.59555,23.0563,0.28
1.21787,1.21661,-0.000347796,-1.15689e-13,1.24765,2.54832,23.0563,0.284
1.21787,1.21661,-0.00035753,-6.42716e-14,1.22327,2.50038,23.0563,0.288
1.21786,1.21661,-0.000367395,-3.57064e-14,1.19854,2.45171,23.0563,0.292
1.21786,1.21661,-0.00037739,-1.98369e-14,1.17344,2.40233,23.0563,0.296
1.21786,1.21661,-0.000387516,-1.10205e-14,1.14799,2.35223,23.0563,0.3
1.21786,1.21661,-0.000397772,-6.1225e-15,1.12217,2.30141,23.0562,0.304
1.21786,1.21661,-0.000408158,-3.83879e-05,1.18358,2.33747,23.0563,0.308
1.21786,1.21661,-0.000418674,-2.13266e-05,1.11836,2.28544,23.0563,0.312
1.21785,1.21661,-0.00042932,2.65398e-05,0.982378,2.12779,23.0563,0.316
1.21785,1.21661,-0.000440095,1.47443e-05,0.981854,2.05481,23.0563,0.32
1.21785,1.21661,-0.000450999,8.19129e-06,0.969081,2.00155,23.0563,0.324
1.21785,1.21661,-0.000462033,4.55072e-06,0.949341,1.95364,23.0563,0.328
1.21785,1.21661,-0.000473197,2.52818e-06,0.925568,1.90544,23.0563,0.332
1.21785,1.21661,-0.000484489,1.40454e-06,0.899392,1.85513,23.0563,0.336
1.21784,1.21661,-0.00049591,7.80301e-07,0.871717,1.80241,23.0563,0.34
1.21784,1.21661,-0.000507459,4.33501e-07,0.843048,1.74753,23.0563,0.344
1.21784,1.21661,-0.000519137,-3.81471e-05,0.901254,1.77845,23.0563,0.348
