joint1_pos_desired, joint1_pos, joint2_pos_desired, joint2_pos, joint1_vel_desired, joint1_vel_filtered, joint2_vel_desired, joint2_vel_filtered, target_torque_joint1, target_torque_joint2, propo_term_torque_joint1, deriv_term_torque_joint1, propo_term_torque_joint2, deriv_term_torque_joint2, current_time
0,-0.000239425,0.3325,-0.000107102,0,0,-9.43808e-11,0,0,0,-0,-0,-1829.34,1.41571e-07,0.004
0,-0.000239425,0.3325,-0.000108139,0,0,-7.54789e-10,-8.63728e-05,0,0,-0,-0,-1829.34,-0.129558,0.008
0,-0.000239425,0.3325,-0.000108139,0,0,-2.54654e-09,-5.75818e-05,0,0,-0,-0,-1829.34,-0.086369,0.012
0,-0.000239425,0.3325,-0.000107793,0,0,-6.03419e-09,-9.59697e-06,0,0,-0,-0,-1829.34,-0.0143864,0.016
0,-0.000239425,0.3325,-0.000107793,0,0,-1.17815e-08,-6.39798e-06,0,0,-0,-0,-1829.34,-0.0095793,0.02
0,-0.000239425,0.3325,-0.000107793,0,0,-2.03515e-08,-4.26532e-06,0,0,-0,-0,-1829.34,-0.00636746,0.024
0,-0.000239425,0.3325,-0.000107793,0,0,-3.23064e-08,-2.84355e-06,0,0,-0,-0,-1829.34,-0.00421686,0.028
0,-0.000239425,0.3325,-0.000107793,0,0,-4.82076e-08,-1.8957e-06,0,0,-0,-0,-1829.34,-0.00277124,0.032
0,-0.000239425,0.3325,-0.000107448,0,0,-6.86159e-08,2.75271e-05,0,0,-0,-0,-1829.34,0.0413936,0.036
0,-0.000239425,0.3325,-0.000107793,0,0,-9.40911e-08,-1.04395e-05,0,0,-0,-0,-1829.34,-0.0155181,0.04
0,-0.000239425,0.3325,-0.000107448,0,0,-1.25192e-07,2.18313e-05,0,0,-0,-0,-1829.34,0.0329347,0.044
0,-0.000239425,0.3325,-0.000108139,0,0,-1.62478e-07,-4.30277e-05,0,0,-0,-0,-1829.34,-0.0642978,0.048
0,-0.000239425,0.3325,-0.000107102,0,0,-2.06506e-07,5.76877e-05,0,0,-0,-0,-1829.34,0.0868412,0.052
0,-0.000239771,0.3325,-0.000107793,0,-2.87909e-05,-2.57833e-07,-1.91234e-05,0,0,-0,-0,-1829.34,-0.0282984,0.056
0,-0.000239425,0.3325,-0.000108139,0,9.59697e-06,-3.17014e-07,-4.15399e-05,0,0,-0,0,-1829.34,-0.0618343,0.06
0,-0.000239425,0.3325,-0.000107448,0,6.39798e-06,-3.84606e-07,2.98886e-05,0,0,-0,0,-1829.34,0.0454098,0.064
0,-0.000239425,0.3325,-0.000107102,0,4.26532e-06,-4.61163e-07,4.87167e-05,0,0,-0,0,-1829.34,0.0737667,0.068
0,-0.000239771,0.3325,-0.000108139,0,-2.59474e-05,-5.47238e-07,-5.3895e-05,0,0,-0,-0,-1829.34,-0.0800216,0.072
0,-0.000239425,0.3325,-0.000108139,0,1.14927e-05,-6.43384e-07,-3.593e-05,0,0,-0,0,-1829.34,-0.0529299,0.076
0,-0.000239425,0.3325,-0.000107102,0,7.66178e-06,-7.50154e-07,6.24194e-05,0,0,-0,0,-1829.34,0.0947544,0.08
0,-0.000239771,0.3325,-0.000107793,0,-2.36831e-05,-8.68099e-07,-1.59689e-05,0,0,-0,-0,-1829.34,-0.0226512,0.084
0,-0.000239425,0.3325,-0.000107448,0,1.30022e-05,-9.9777e-07,1.8145e-05,0,0,-0,0,-1829.34,0.0287142,0.088
0,-0.000239425,0.3325,-0.000108139,0,8.66814e-06,-1.13972e-06,-4.54852e-05,0,0,-0,0,-1829.34,-0.0665182,0.092
0,-0.000239425,0.3325,-0.000107102,0,5.77876e-06,-1.29449e-06,5.60493e-05,0,0,-0,0,-1829.34,0.0860157,0.096
0,-0.000239425,0.3325,-0.000107102,0,3.85251e-06,-1.46263e-06,3.73662e-05,0,0,-0,0,-1829.34,0.0582433,0.1
0,-0.000239425,0.3325,-0.000107448,0,2.56834e-06,-1.64469e-06,-3.88012e-06,0,0,-0,0,-1829.34,-0.00335313,0.104
0,-0.000239771,0.3325,-0.000107102,0,-2.70787e-05,-1.84123e-06,2.62042e-05,0,0,-0,-0,-1829.34,0.0420681,0.108
0,-0.000239425,0.3325,-0.000107793,0,1.07385e-05,-2.05277e-06,-4.01124e-05,0,0,-0,0,-1829.34,-0.0570894,0.112
0,-0.000239425,0.3325,-0.000107448,0,7.15897e-06,-2.27987e-06,2.04933e-06,0,0,-0,0,-1829.34,0.0064938,0.116
0,-0.000239425,0.3325,-0.000107448,0,4.77265e-06,-2.52308e-06,1.36622e-06,0,0,-0,0,-1829.34,0.00583395,0.12
0,-0.000239425,0.3325,-0.000107793,0,3.18177e-06,-2.78293e-06,-2.78801e-05,0,0,-0,0,-1829.34,-0.0376458,0.124
0,-0.000239425,0.3325,-0.000107102,0,2.12118e-06,-3.05998e-06,3.89951e-05,0,0,-0,0,-1829.34,0.0630826,0.128
0,-0.000239425,0.3325,-0.000107448,0,1.41412e-06,-3.35475e-06,-2.79419e-06,0,0,-0,0,-1829.34,0.000840845,0.132
0,-0.000239425,0.3325,-0.000107793,0,9.42745e-07,-3.6678e-06,-3.06537e-05,0,0,-0,0,-1829.34,-0.0404789,0.136
0,-0.000239771,0.3325,-0.000108139,0,-2.81624e-05,-3.99966e-06,-4.92267e-05,0,0,-0,-0,-1829.34,-0.0678406,0.14
0,-0.000239425,0.3325,-0.000108139,0,1.0016e-05,-4.35087e-06,-3.28178e-05,0,0,-0,0,-1829.34,-0.0427004,0.144
0,-0.000239425,0.3325,-0.000107793,0,6.67732e-06,-4.72198e-06,6.91238e-06,0,0,-0,0,-1829.34,0.0174515,0.148
0,-0.000239771,0.3325,-0.000108139,0,-2.43394e-05,-5.11352e-06,-2.41827e-05,0,0,-0,-0,-1829.34,-0.0286037,0.152
0,-0.000239771,0.3325,-0.000107793,0,-1.62263e-05,-5.52602e-06,1.26691e-05,0,0,-0,-0,-1829.34,0.0272927,0.156
0,-0.000239425,0.3325,-0.000108139,0,1.79734e-05,-5.96004e-06,-2.03448e-05,0,0,-0,0,-1829.34,-0.0215772,0.16
0,-0.000239425,0.3325,-0.000107793,0,1.19823e-05,-6.41609e-06,1.52277e-05,0,0,-0,0,-1829.34,0.0324657,0.164
0,-0.000239425,0.3325,-0.000107793,0,7.98819e-06,-6.89472e-06,1.01518e-05,0,0,-0,0,-1829.34,0.0255698,0.168
0,-0.000239425,0.3325,-0.000108139,0,5.32546e-06,-7.39646e-06,-2.20231e-05,0,0,-0,0,-1829.34,-0.0219399,0.172
0,-0.000239771,0.3325,-0.000107102,0,-2.52406e-05,-7.92184e-06,7.16907e-05,0,0,-0,-0,-1829.34,0.119419,0.176
0,-0.000239425,0.3325,-0.000107448,0,1.19638e-05,-8.4714e-06,1.90029e-05,0,0,-0,0,-1829.34,0.0412115,0.18
0,-0.000239425,0.3325,-0.000107793,0,7.9759e-06,-9.04567e-06,-1.61223e-05,0,0,-0,0,-1829.34,-0.010615,0.184
0,-0.000239425,0.3325,-0.000108139,0,5.31726e-06,-9.64518e-06,-3.95391e-05,0,0,-0,0,-1829.34,-0.0448409,0.188
0,-0.000239425,0.3325,-0.000107793,0,3.54484e-06,-1.02705e-05,2.4315e-06,0,0,-0,0,-1829.34,0.0190529,0.192
0,-0.000239425,0.332499,-0.000107793,0,2.36323e-06,-1.0922e-05,1.621e-06,0,0,-0,0,-1829.34,0.0188146,0.196
0,-0.000239425,0.332499,-0.000107793,0,1.57549e-06,-1.16005e-05,1.08067e-06,0,0,-0,0,-1829.34,0.0190217,0.2
0,-0.000239425,0.332499,-0.000107102,0,1.05032e-06,-1.23062e-05,5.83023e-05,0,0,-0,0,-1829.34,0.105913,0.204
0,-0.000239425,0.332499,-0.000107793,0,7.00216e-07,-1.30399e-05,-1.87137e-05,0,0,-0,0,-1829.34,-0.00851065,0.208
0,-0.000239425,0.332499,-0.000108139,0,4.66811e-07,-1.3802e-05,-4.12667e-05,0,0,-0,0,-1829.34,-0.0411971,0.212
0,-0.000239425,0.332499,-0.000107448,0,3.11207e-07,-1.4593e-05,3.00707e-05,0,0,-0,0,-1829.34,0.0669955,0.216
0,-0.000239425,0.332499,-0.000107102,0,2.07471e-07,-1.54134e-05,4.88381e-05,0,0,-0,0,-1829.33,0.0963773,0.22
0,-0.000239425,0.332499,-0.000107102,0,1.38314e-07,-1.62639e-05,3.25587e-05,0,0,-0,0,-1829.33,0.0732339,0.224
0,-0.000239425,0.332499,-0.000108139,0,9.22095e-08,-1.71449e-05,-6.4667e-05,0,0,-0,0,-1829.34,-0.0712831,0.228
0,-0.000239425,0.332499,-0.000107448,0,6.1473e-08,-1.80569e-05,1.44705e-05,0,0,-0,0,-1829.34,0.0487911,0.232
0,-0.000239425,0.332499,-0.000107793,0,4.0982e-08,-1.90004e-05,-1.91439e-05,0,0,-0,0,-1829.34,-0.000215194,0.236
0,-0.000239425,0.332499,-0.000108139,0,2.73213e-08,-1.99761e-05,-4.15535e-05,0,0,-0,0,-1829.34,-0.0323662,0.24
0,-0.000239771,0.332499,-0.000108139,0,-2.87727e-05,-2.09843e-05,-2.77023e-05,0,0,-0,-0,-1829.34,-0.0100771,0.244
0,-0.000239771,0.332499,-0.000107793,0,-1.91818e-05,-2.20257e-05,1.03227e-05,0,0,-0,-0,-1829.34,0.0485225,0.248
0,-0.000239425,0.332499,-0.000107448,0,1.60031e-05,-2.31007e-05,3.56727e-05,0,0,-0,0,-1829.33,0.0881601,0.252
0,-0.000239425,0.332498,-0.000108139,0,1.06687e-05,-2.42098e-05,-3.38e-05,0,0,-0,0,-1829.34,-0.0143853,0.256
0,-0.000239425,0.332498,-0.000107448,0,7.11247e-06,-2.53536e-05,3.50485e-05,0,0,-0,0,-1829.33,0.0906032,0.26
0,-0.000239425,0.332498,-0.000107448,0,4.74165e-06,-2.65326e-05,2.33657e-05,0,0,-0,0,-1829.33,0.0748474,0.264
0,-0.000239771,0.332498,-0.000107793,0,-2.56298e-05,-2.77473e-05,-1.32138e-05,0,0,-0,-0,-1829.33,0.0218003,0.268
0,-0.000239425,0.332498,-0.000107793,0,1.17044e-05,-2.89983e-05,-8.80921e-06,0,0,-0,0,-1829.33,0.0302836,0.272
0,-0.000239425,0.332498,-0.000108139,0,7.80292e-06,-3.0286e-05,-3.46637e-05,0,0,-0,0,-1829.33,-0.00656667,0.276
